temperature,city,pression,date
295.47,Washington,1017,2024-09-22 00:16
291.19,Paris,1014,2024-09-22 00:15
290.3,London,1015,2024-09-22 00:15
295.47,Washington,1017,2024-09-22 00:15
291.43,Paris,1014,2024-09-22 00:11
290.29,London,1015,2024-09-22 00:11
295.47,Washington,1017,2024-09-22 00:11
291.44,Paris,1014,2024-09-22 00:09
290.3,London,1015,2024-09-22 00:09
295.47,Washington,1017,2024-09-22 00:09
291.38,Paris,1014,2024-09-22 00:08
290.3,London,1015,2024-09-22 00:08
295.55,Washington,1017,2024-09-22 00:08
291.38,Paris,1014,2024-09-22 00:05
290.3,London,1015,2024-09-22 00:05
295.55,Washington,1017,2024-09-22 00:05
291.38,Paris,1014,2024-09-22 00:01
290.34,London,1015,2024-09-22 00:01
295.55,Washington,1017,2024-09-22 00:01
291.54,Paris,1014,2024-09-22 00:00
290.34,London,1015,2024-09-22 00:00
295.55,Washington,1017,2024-09-22 00:00
291.54,Paris,1014,2024-09-21 23:57
290.35,London,1015,2024-09-21 23:57
295.47,Washington,1017,2024-09-21 23:57
291.54,Paris,1014,2024-09-21 23:56
290.35,London,1015,2024-09-21 23:56
295.47,Washington,1017,2024-09-21 23:56
291.79,Paris,1014,2024-09-21 23:47
290.49,London,1015,2024-09-21 23:47
295.47,Washington,1017,2024-09-21 23:47
291.79,Paris,1014,2024-09-21 23:43
290.53,London,1015,2024-09-21 23:43
295.51,Washington,1017,2024-09-21 23:43
